name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,aggregate,component,component_label,bin_index,bin_left,bin_right,bin_mid,count,cumulative_count,cumulative_fraction,total_count
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,48,0.007498942093324558,0.01,0.008659643233600654,9496095,45960011,0.5838552353394634,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,49,0.01,0.01333521432163324,0.011547819846894583,10480052,56440063,0.7169890856953698,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,50,0.01333521432163324,0.01778279410038923,0.01539926526059492,9577164,66017227,0.8386530544247209,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,51,0.01778279410038923,0.023713737056616554,0.020535250264571463,7087709,73104936,0.9286921104687378,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,52,0.023713737056616554,0.03162277660168379,0.027384196342643614,3582475,76687411,0.9742022558910864,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,53,0.03162277660168379,0.042169650342858224,0.03651741272548377,1227532,77914943,0.9897962683630749,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,54,0.042169650342858224,0.056234132519034905,0.04869675251658631,432088,78347031,0.995285319288832,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,55,0.056234132519034905,0.07498942093324558,0.06493816315762113,232841,78579872,0.9982432262582553,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,56,0.07498942093324558,0.1,0.08659643233600653,94389,78674261,0.9994423015110541,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,57,0.1,0.1333521432163324,0.11547819846894582,24663,78698924,0.9997556091312193,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,58,0.1333521432163324,0.1778279410038923,0.15399265260594922,8654,78707578,0.9998655456411698,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,59,0.1778279410038923,0.23713737056616552,0.2053525026457146,5009,78712587,0.9999291777163192,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,60,0.23713737056616552,0.31622776601683794,0.27384196342643613,2911,78715498,0.9999661577464168,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,61,0.31622776601683794,0.4216965034285822,0.3651741272548377,1348,78716846,0.9999832821299868,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,62,0.4216965034285822,0.5623413251903491,0.4869675251658631,675,78717521,0.9999918570253202,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,63,0.5623413251903491,0.7498942093324558,0.6493816315762113,320,78717841,0.9999959221608858,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,64,0.7498942093324558,1.0,0.8659643233600653,171,78718012,0.9999980944677036,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,65,1.0,1.333521432163324,1.1547819846894583,93,78718105,0.9999992758977274,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,66,1.333521432163324,1.7782794100389228,1.5399265260594919,41,78718146,0.9999997967432217,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,67,1.7782794100389228,2.371373705661655,2.053525026457146,12,78718158,0.9999999491858055,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,68,2.371373705661655,3.1622776601683795,2.7384196342643614,3,78718161,0.9999999872964513,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,69,3.1622776601683795,4.216965034285822,3.651741272548377,1,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,70,4.216965034285822,5.62341325190349,4.869675251658631,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,71,5.62341325190349,7.498942093324558,6.493816315762112,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,72,7.498942093324558,10.0,8.659643233600654,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,73,10.0,13.33521432163324,11.547819846894582,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,74,13.33521432163324,17.78279410038923,15.39926526059492,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,75,17.78279410038923,23.71373705661655,20.53525026457146,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,76,23.71373705661655,31.622776601683793,27.384196342643612,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,77,31.622776601683793,42.169650342858226,36.51741272548377,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,78,42.169650342858226,56.23413251903491,48.696752516586315,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,79,56.23413251903491,74.98942093324558,64.93816315762113,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,80,74.98942093324558,100.0,86.59643233600653,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,81,100.0,133.3521432163324,115.4781984689458,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,82,133.3521432163324,177.82794100389228,153.9926526059492,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,83,177.82794100389228,237.13737056616552,205.3525026457146,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,84,237.13737056616552,316.2277660168379,273.8419634264361,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,85,316.2277660168379,421.6965034285822,365.1741272548377,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,86,421.6965034285822,562.341325190349,486.9675251658631,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,87,562.341325190349,749.8942093324558,649.3816315762112,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,88,749.8942093324558,1000.0,865.9643233600654,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,89,1000.0,1333.521432163324,1154.7819846894583,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,90,1333.521432163324,1778.2794100389228,1539.926526059492,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,91,1778.2794100389228,2371.373705661655,2053.525026457146,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,92,2371.373705661655,3162.2776601683795,2738.4196342643613,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,93,3162.2776601683795,4216.965034285822,3651.741272548377,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,94,4216.965034285822,5623.413251903491,4869.675251658631,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,95,5623.413251903491,7498.942093324558,6493.816315762113,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,96,7498.942093324558,10000.0,8659.643233600653,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,97,10000.0,13335.21432163324,11547.819846894581,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,98,13335.21432163324,17782.794100389227,15399.265260594919,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,99,17782.794100389227,23713.737056616552,20535.25026457146,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,100,23713.737056616552,31622.776601683792,27384.196342643612,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,101,31622.776601683792,42169.65034285822,36517.412725483766,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,102,42169.65034285822,56234.13251903491,48696.75251658631,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,103,56234.13251903491,74989.42093324558,64938.16315762113,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,104,74989.42093324558,100000.0,86596.43233600653,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,105,100000.0,133352.1432163324,115478.19846894582,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,106,133352.1432163324,177827.94100389228,153992.6526059492,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,107,177827.94100389228,237137.37056616554,205352.50264571462,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,108,237137.37056616554,316227.7660168379,273841.9634264361,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,109,316227.7660168379,421696.5034285822,365174.12725483766,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,110,421696.5034285822,562341.3251903491,486967.5251658631,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,111,562341.3251903491,749894.2093324559,649381.6315762114,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,112,749894.2093324559,1000000.0,865964.3233600655,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,113,1000000.0,1333521.432163324,1154781.9846894583,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,114,1333521.432163324,1778279.410038923,1539926.526059492,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,115,1778279.410038923,2371373.7056616554,2053525.0264571463,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,116,2371373.7056616554,3162277.660168379,2738419.6342643616,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,117,3162277.660168379,4216965.034285823,3651741.272548377,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,118,4216965.034285823,5623413.251903491,4869675.2516586315,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,119,5623413.251903491,7498942.093324558,6493816.315762113,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,120,7498942.093324558,10000000.0,8659643.233600654,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,121,10000000.0,13335214.32163324,11547819.846894583,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,122,13335214.32163324,17782794.100389227,15399265.26059492,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,123,17782794.100389227,23713737.056616552,20535250.26457146,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,124,23713737.056616552,31622776.60168379,27384196.34264361,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,125,31622776.60168379,42169650.342858225,36517412.72548377,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,126,42169650.342858225,56234132.51903491,48696752.51658631,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,127,56234132.51903491,74989420.93324558,64938163.15762113,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,128,74989420.93324558,100000000.0,86596432.33600654,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,129,100000000.0,inf,100000000.0,0,78718162,1.0,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,0,0.0,1e-08,5e-09,2,2,3.505328098710039e-06,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,1,1e-08,1.333521432163324e-08,1.1547819846894582e-08,2,4,7.010656197420078e-06,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,2,1.333521432163324e-08,1.7782794100389228e-08,1.539926526059492e-08,1,5,8.763320246775098e-06,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,3,1.7782794100389228e-08,2.371373705661655e-08,2.053525026457146e-08,0,5,8.763320246775098e-06,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,4,2.371373705661655e-08,3.162277660168379e-08,2.7384196342643613e-08,1,6,1.0515984296130118e-05,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,5,3.162277660168379e-08,4.2169650342858225e-08,3.651741272548377e-08,0,6,1.0515984296130118e-05,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,6,4.2169650342858225e-08,5.6234132519034905e-08,4.8696752516586306e-08,4,10,1.7526640493550196e-05,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,7,5.6234132519034905e-08,7.498942093324559e-08,6.493816315762114e-08,3,13,2.2784632641615256e-05,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,8,7.498942093324559e-08,1e-07,8.659643233600654e-08,6,19,3.330061693774537e-05,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,9,1e-07,1.333521432163324e-07,1.1547819846894582e-07,5,24,4.206393718452047e-05,570560
