name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,tensor,tensor_stem,component,component_label,component_order,layer,submodule,submodule_group,shape,numel,baseline_mean,baseline_std,tuned_mean,tuned_std,delta_mean,delta_std,delta_l1_sum,delta_l2_norm,delta_linf_norm,baseline_l2_norm,tuned_l2_norm,relative_l2,cosine_similarity,sign_flip_fraction,abs_delta_q500,abs_delta_q950,abs_delta_q990,abs_delta_q999,abs_delta_z_q500,abs_delta_z_q950,abs_delta_z_q990,abs_delta_z_q999,tail_abs_delta_z_gt_1p0_fraction,tail_abs_delta_z_gt_2p0_fraction,tail_abs_delta_z_gt_3p0_fraction,tail_abs_delta_z_gt_5p0_fraction
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.10.deepnorm_alpha.tensor,transformer_encoder.10.deepnorm_alpha,transformer_norm_deepnorm,Transformer norm/deepnorm,3,10.0,deepnorm_alpha,Norm/deepnorm,scalar,1,2.44921875,0.0,2.44921875,0.0,0.0,0.0,0.0,0.0,0.0,2.44921875,2.44921875,0.0,0.9999999999998332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.10.norm1.weight.tensor,transformer_encoder.10.norm1.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,10.0,norm1_weight,Norm/deepnorm,512,512,0.2463228702545166,0.026740267872810364,0.2471168041229248,0.026657046750187874,0.0007939338684082031,0.0006924698245711625,0.445068359375,0.023837803610361977,0.003173828125,5.60639589730117,5.624053705938473,0.004251894451805101,0.9999960823075942,0.0,0.000732421875,0.001953125,0.0024279803037643433,0.0031114518642425537,0.027390211820602417,0.07304056733846664,0.09079862385988235,0.11635825037956238,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.10.norm2.weight.tensor,transformer_encoder.10.norm2.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,10.0,norm2_weight,Norm/deepnorm,512,512,0.33830833435058594,0.027939941734075546,0.33855390548706055,0.027977924793958664,0.0002455711364746094,0.0006921322201378644,0.296142578125,0.01661771101097816,0.002685546875,7.681105023995469,7.686713449821579,0.002163453169701875,0.9999981342612901,0.0,0.00048828125,0.00146484375,0.001708984375,0.002436041831970215,0.017476094886660576,0.05242828652262688,0.06116633489727974,0.0871884748339653,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.11.deepnorm_alpha.tensor,transformer_encoder.11.deepnorm_alpha,transformer_norm_deepnorm,Transformer norm/deepnorm,3,11.0,deepnorm_alpha,Norm/deepnorm,scalar,1,2.44921875,0.0,2.44921875,0.0,0.0,0.0,0.0,0.0,0.0,2.44921875,2.44921875,0.0,0.9999999999998332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.11.norm1.weight.tensor,transformer_encoder.11.norm1.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,11.0,norm1_weight,Norm/deepnorm,512,512,0.25324106216430664,0.026536356657743454,0.2539229393005371,0.026478854939341545,0.0006818771362304688,0.0006475602858699858,0.39892578125,0.021278084540528246,0.00244140625,5.761564484163635,5.776774555716894,0.0036931088073404316,0.999996827855598,0.0,0.000732421875,0.001708984375,0.0020751953125,0.0023166537284851074,0.027600685134530067,0.06440159678459167,0.07820194214582443,0.0873010903596878,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.11.norm2.weight.tensor,transformer_encoder.11.norm2.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,11.0,norm2_weight,Norm/deepnorm,512,512,0.3390350341796875,0.018608592450618744,0.3394615650177002,0.018594546243548393,0.0004265308380126953,0.0006235130131244659,0.3077392578125,0.017093766988296018,0.00244140625,7.683033211474052,7.6926525185397585,0.002224872197970652,0.999998459237009,0.0,0.00048828125,0.00146484375,0.0019262731075286865,0.0023166537284851074,0.02623954601585865,0.0787186324596405,0.10351520031690598,0.12449370324611664,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.12.deepnorm_alpha.tensor,transformer_encoder.12.deepnorm_alpha,transformer_norm_deepnorm,Transformer norm/deepnorm,3,12.0,deepnorm_alpha,Norm/deepnorm,scalar,1,2.44921875,0.0,2.44921875,0.0,0.0,0.0,0.0,0.0,0.0,2.44921875,2.44921875,0.0,0.9999999999998332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.12.norm1.weight.tensor,transformer_encoder.12.norm1.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,12.0,norm1_weight,Norm/deepnorm,512,512,0.2584099769592285,0.020306674763560295,0.2592623233795166,0.020264485850930214,0.0008523464202880859,0.0006412968505173922,0.4642333984375,0.02413568094235351,0.002685546875,5.86517583949312,5.884329024108428,0.004115082241836972,0.9999970801204336,0.0,0.0008544921875,0.001953125,0.0024279803037643433,0.0026231706142425537,0.04207935556769371,0.09618138521909714,0.11956557631492615,0.12917768955230713,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.12.norm2.weight.tensor,transformer_encoder.12.norm2.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,12.0,norm2_weight,Norm/deepnorm,512,512,0.2992253303527832,0.017497792840003967,0.29961585998535156,0.01762678101658821,0.0003905296325683594,0.000710388005245477,0.319091796875,0.01834307007447445,0.00341796875,6.782262207992182,6.79125463565954,0.0027045651601107913,0.9999974407754761,0.0,0.00048828125,0.001708984375,0.002197265625,0.003168463706970215,0.027905290946364403,0.09766851365566254,0.12557381391525269,0.18107780814170837,0.0,0.0,0.0,0.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.13.deepnorm_alpha.tensor,transformer_encoder.13.deepnorm_alpha,transformer_norm_deepnorm,Transformer norm/deepnorm,3,13.0,deepnorm_alpha,Norm/deepnorm,scalar,1,2.44921875,0.0,2.44921875,0.0,0.0,0.0,0.0,0.0,0.0,2.44921875,2.44921875,0.0,0.9999999999998332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
