name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,component,component_label,component_order,numel,delta_l1_sum,delta_l2_norm,baseline_l2_norm,tuned_l2_norm,relative_l2,cosine_similarity,sign_flip_fraction,tail_abs_delta_z_gt_1p0_count,tail_abs_delta_z_gt_1p0_fraction,tail_abs_delta_z_gt_2p0_count,tail_abs_delta_z_gt_2p0_fraction,tail_abs_delta_z_gt_3p0_count,tail_abs_delta_z_gt_3p0_fraction,tail_abs_delta_z_gt_5p0_count,tail_abs_delta_z_gt_5p0_fraction,p999_abs_delta_z_approx,delta_energy_share
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,upsample,Upsample,4,525312,445.9544998407364,0.7749001514264687,46.808640365494604,46.80548413903548,0.016554639172935186,0.999861893027878,0.005623324805068226,0,0.0,0,0.0,0,0.0,0,0.0,0.06345777953470388,0.006871310170170283
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,crf,CRF head,5,2097152,2399.781982421875,2.0588392657792527,48.61623023021093,48.45432419509248,0.04234880524528645,0.999102758336187,0.013878345489501953,0,0.0,0,0.0,0,0.0,0,0.0,0.16024709850465557,0.04850571898055721
AlphaQCL,AlphaQCL,AlphaQCL,Alpha,QCL,,,2,conv,Convolution front-end,0,570560,886.0491902828217,4.548927893635766,69.34958421627893,70.17884764497369,0.06559416246028334,0.997944736909631,0.023022994952327538,64,0.00011217049915872125,8,1.4021312394840156e-05,2,3.505328098710039e-06,0,0.0,0.49632755726183436,0.27276749715207393
AlphaQCL,AlphaQCL,AlphaQCL,Alpha,QCL,,,2,transformer_self_attn,Transformer self-attention,1,18883584,12055.718253195286,3.5225560099125293,329.42211021658665,329.3014317241811,0.01069313777267873,0.9999413153471806,0.004235212976519712,0,0.0,0,0.0,0,0.0,0,0.0,0.05231865120193831,0.1635649810899041
AlphaQCL,AlphaQCL,AlphaQCL,Alpha,QCL,,,2,transformer_ffn,Transformer FFN,2,56623104,37453.59844970703,6.287432417876074,510.4324132881417,509.9351025747204,0.012317854928869445,0.9999215101095952,0.004222039823178892,0,0.0,0,0.0,0,0.0,0,0.0,0.0426132356108378,0.5211001199610205
AlphaQCL,AlphaQCL,AlphaQCL,Alpha,QCL,,,2,transformer_norm_deepnorm,Transformer norm/deepnorm,3,18450,15.778334200382233,0.15993927259008411,41.78867999301332,41.88093767344279,0.0038273348815234328,0.9999952821482126,0.0022222222222222222,0,0.0,0,0.0,0,0.0,0,0.0,0.31443209122216675,0.0003371978106768071
AlphaQCL,AlphaQCL,AlphaQCL,Alpha,QCL,,,2,upsample,Upsample,4,525312,416.23497515916824,0.7238791321589785,46.808640365494604,46.81113597884203,0.015464647691253532,0.9998793572469403,0.005158838937621832,0,0.0,0,0.0,0,0.0,0,0.0,0.0562167454642344,0.006907273097440465
AlphaQCL,AlphaQCL,AlphaQCL,Alpha,QCL,,,2,crf,CRF head,5,2097152,1908.2193603515625,1.6369714655640901,48.61623023021093,48.45574757091516,0.033671295734213784,0.9994332364731342,0.011034488677978516,0,0.0,0,0.0,0,0.0,0,0.0,0.12074479835216517,0.035322930888884246
Gamma,Gamma,Gamma,Gamma,base,,,3,conv,Convolution front-end,0,570560,842.0706701278687,4.0846767905801675,69.34958421627893,69.82554148113385,0.05889980216523466,0.9983007281665066,0.021836441390914188,50,8.763320246775099e-05,7,1.2268648345485138e-05,0,0.0,0,0.0,0.4803326082103337,0.24166492214898316
Gamma,Gamma,Gamma,Gamma,base,,,3,transformer_self_attn,Transformer self-attention,1,18883584,11847.779586136341,3.460464641822217,329.42211021658665,329.32326978731606,0.010504652039133132,0.9999432747348977,0.004173995783851201,0,0.0,0,0.0,0,0.0,0,0.0,0.051932018497867855,0.17344710426751095
