name,display_name,family,variant,sort_order,seed_index,seed_label,seed,threshold,weighted_jaccard,jensen_shannon_similarity,exact_overlap_mass,intersection_variants,source_variants,groundtruth_variants,precision,recall,f1
AlphaQCL_s09,AlphaQCL,Alpha,QCL,1,9,s09,2918267749,9,0.26629225931260175,0.941512712093861,0.7943599254671119,1826.0,1984.0,5290.0,0.9203629032258065,0.345179584120983,0.502062139125653
AlphaQCL_s09,AlphaQCL,Alpha,QCL,1,9,s09,2918267749,10,0.2608521472829571,0.9471422306481552,0.8045988283448489,1629.0,1729.0,4234.0,0.9421631000578369,0.384742560226736,0.5463692772094584
AlphaQCL_s10,AlphaQCL,Alpha,QCL,1,10,s10,3763609086,1,0.21923117482329935,0.6075191570604839,0.46830943354584936,75444.0,117084.0,273284.0,0.6443578968945373,0.2760644604148066,0.3865275842282154
AlphaQCL_s10,AlphaQCL,Alpha,QCL,1,10,s10,3763609086,2,0.2580940857258094,0.7313146249677077,0.5728740065470694,26099.0,38165.0,107484.0,0.6838464561771256,0.2428175356332105,0.3583821378794224
AlphaQCL_s10,AlphaQCL,Alpha,QCL,1,10,s10,3763609086,3,0.27854464799656853,0.8075472500479595,0.6422321844555561,13029.0,18055.0,53134.0,0.7216283577956245,0.24521022320924454,0.3660396971442217
AlphaQCL_s10,AlphaQCL,Alpha,QCL,1,10,s10,3763609086,4,0.2859260644265185,0.8544735111771086,0.68376656983716,7509.0,9987.0,30491.0,0.7518774406728748,0.24626939096782657,0.3710163545629725
AlphaQCL_s10,AlphaQCL,Alpha,QCL,1,10,s10,3763609086,5,0.28553196462180014,0.8850663160225869,0.716484951465106,4825.0,6161.0,19331.0,0.7831520857003733,0.24959908954528995,0.3785501333751765
AlphaQCL_s10,AlphaQCL,Alpha,QCL,1,10,s10,3763609086,6,0.28164707177303405,0.9070697904607748,0.7436246855440896,3427.0,4132.0,13072.0,0.829380445304937,0.26216340269277844,0.3983957219251336
AlphaQCL_s10,AlphaQCL,Alpha,QCL,1,10,s10,3763609086,7,0.27651219658555615,0.9211945796990655,0.7628931656889663,2595.0,3048.0,9309.0,0.8513779527559056,0.27876248791492103,0.4200048555474629
AlphaQCL_s10,AlphaQCL,Alpha,QCL,1,10,s10,3763609086,8,0.27084003603371726,0.932425759662526,0.7789739689232172,2116.0,2380.0,6930.0,0.8890756302521008,0.30533910533910535,0.45456498388829214
AlphaQCL_s10,AlphaQCL,Alpha,QCL,1,10,s10,3763609086,9,0.2652277993593675,0.9407244489277912,0.7923928669034594,1822.0,1990.0,5290.0,0.9155778894472362,0.3444234404536862,0.5005494505494505
AlphaQCL_s10,AlphaQCL,Alpha,QCL,1,10,s10,3763609086,10,0.2595822537995139,0.9468903607641204,0.803507947030448,1637.0,1735.0,4234.0,0.9435158501440922,0.38663202645252714,0.5485005863628748
AlphaQCH_s01,AlphaQCH,Alpha,QCH,2,1,s01,1608668,1,0.22174643189726045,0.6076721901325964,0.4655498604283806,76428.0,118277.0,273284.0,0.6461780396864987,0.27966511028819835,0.39037595674747994
AlphaQCH_s01,AlphaQCH,Alpha,QCH,2,1,s01,1608668,2,0.26101821065371933,0.7294337363660867,0.5680305228283298,26978.0,39728.0,107484.0,0.6790676600886025,0.25099549700420526,0.3665190337744206
AlphaQCH_s01,AlphaQCH,Alpha,QCH,2,1,s01,1608668,3,0.2814900119590734,0.8051994734716809,0.6360521283501666,13511.0,18857.0,53134.0,0.7164978522564565,0.2542816275830918,0.3753524746148824
AlphaQCH_s01,AlphaQCH,Alpha,QCH,2,1,s01,1608668,4,0.28859458811941807,0.8516199267247562,0.6763225298658615,7868.0,10562.0,30491.0,0.7449346714637379,0.25804335705618053,0.38330938055684116
AlphaQCH_s01,AlphaQCH,Alpha,QCH,2,1,s01,1608668,5,0.2875005749152958,0.88173779969016,0.7088246561213368,5084.0,6558.0,19331.0,0.7752363525465081,0.2629972582897936,0.392753679168759
AlphaQCH_s01,AlphaQCH,Alpha,QCH,2,1,s01,1608668,6,0.282889368850492,0.9027319498023665,0.7352107199843648,3568.0,4412.0,13072.0,0.8087035358114234,0.2729498164014688,0.40814458933882414
AlphaQCH_s01,AlphaQCH,Alpha,QCH,2,1,s01,1608668,7,0.2767942727054877,0.9180845133565181,0.7563963926802879,2704.0,3208.0,9309.0,0.8428927680798005,0.29047158663658823,0.4320524087241352
AlphaQCH_s01,AlphaQCH,Alpha,QCH,2,1,s01,1608668,8,0.26998569867592237,0.9294593884900639,0.7733803072134127,2178.0,2469.0,6930.0,0.8821385176184691,0.3142857142857143,0.46345355888924356
AlphaQCH_s01,AlphaQCH,Alpha,QCH,2,1,s01,1608668,9,0.26325157554079376,0.9383521368722004,0.7881055899259687,1847.0,2017.0,5290.0,0.9157164105106594,0.34914933837429113,0.5055426303544547
AlphaQCH_s01,AlphaQCH,Alpha,QCH,2,1,s01,1608668,10,0.2571325629186794,0.9445803839942363,0.7994214003276612,1662.0,1774.0,4234.0,0.9368658399098083,0.3925366084081247,0.5532623169107856
AlphaQCH_s02,AlphaQCH,Alpha,QCH,2,2,s02,800022071,1,0.21954360949208993,0.6074024183740266,0.46572206941582645,76072.0,117485.0,273284.0,0.6475039366727667,0.2783624361470119,0.38934511181797943
AlphaQCH_s02,AlphaQCH,Alpha,QCH,2,2,s02,800022071,2,0.2581892443364878,0.7298904326817721,0.5686202869904473,26569.0,39035.0,107484.0,0.6806455744844371,0.247190279483458,0.36266968789030773
AlphaQCH_s02,AlphaQCH,Alpha,QCH,2,2,s02,800022071,3,0.27827804721053856,0.8064050170753356,0.6376319110743082,13229.0,18366.0,53134.0,0.7202983774365675,0.24897429141416041,0.370041958041958
AlphaQCH_s02,AlphaQCH,Alpha,QCH,2,2,s02,800022071,4,0.2846036870047755,0.8528838108646409,0.6788275953844338,7680.0,10225.0,30491.0,0.7511002444987775,0.2518776032271818,0.377247273798998
AlphaQCH_s02,AlphaQCH,Alpha,QCH,2,2,s02,800022071,5,0.28367909865523194,0.8830941024622165,0.7111454415143615,4968.0,6355.0,19331.0,0.7817466561762392,0.25699653406445605,0.38682550805886473
AlphaQCH_s02,AlphaQCH,Alpha,QCH,2,2,s02,800022071,6,0.27943760984182775,0.9042016130162863,0.737404075124783,3459.0,4259.0,13072.0,0.8121624794552712,0.2646113831089351,0.39916911891985457
AlphaQCH_s02,AlphaQCH,Alpha,QCH,2,2,s02,800022071,7,0.2731557161925044,0.9197187621667929,0.759087376446991,2654.0,3115.0,9309.0,0.8520064205457464,0.28510044043398863,0.42723760463618804
AlphaQCH_s02,AlphaQCH,Alpha,QCH,2,2,s02,800022071,8,0.26655328251149923,0.9307280469040781,0.7761215827620268,2158.0,2426.0,6930.0,0.8895300906842539,0.3113997113997114,0.46130825138948267
AlphaQCH_s02,AlphaQCH,Alpha,QCH,2,2,s02,800022071,9,0.26018739352640546,0.9394588258691036,0.7907308252606347,1835.0,2004.0,5290.0,0.9156686626746507,0.34688090737240074,0.5031532766657526
AlphaQCH_s02,AlphaQCH,Alpha,QCH,2,2,s02,800022071,10,0.25409208640777564,0.9459901587383505,0.8027393850492164,1648.0,1751.0,4234.0,0.9411764705882353,0.3892300425129901,0.5507101086048454
